C,H,N,O,VM,Ash,FC,Temp,RT,HR,Yield-char
40.02,6.01,0.88,52.86,72.29,10.02,17.68,400,30,10,50.17
40.02,6.01,0.88,52.86,72.29,10.02,17.68,450,30,10,49.57
40.02,6.01,0.88,52.86,72.29,10.02,17.68,500,30,10,48.46
40.02,6.01,0.88,52.86,72.29,10.02,17.68,550,30,10,47.05
40.02,6.01,0.88,52.86,72.29,10.02,17.68,600,30,10,45.52
44.48,6.28,4.21,44.49,77.5,6.47,16.03,600,60,5,29.72
44.48,6.28,4.21,44.49,77.5,6.47,16.03,800,60,5,27.77
44.7,7.24,1.19,46.87,94.16,2.47,3.37,200,60,10,70.01
44.7,7.24,1.19,46.87,94.16,2.47,3.37,400,60,10,31.77
44.7,7.24,1.19,46.87,94.16,2.47,3.37,600,60,10,23.3
44.7,7.24,1.19,46.87,94.16,2.47,3.37,800,60,10,21.34
53.65,7.45,1.05,37.84,85.8,1.87,12.33,200,60,10,74.88
53.65,7.45,1.05,37.84,85.8,1.87,12.33,400,60,10,38.86
53.65,7.45,1.05,37.84,85.8,1.87,12.33,600,60,10,27.04
53.65,7.45,1.05,37.84,85.8,1.87,12.33,800,60,10,25.63
45.02,6.57,2.19,46.22,76.12,18.95,4.93,400,30,10,44.5
45.02,6.57,2.19,46.22,76.12,18.95,4.93,500,30,10,40.6
45.02,6.57,2.19,46.22,76.12,18.95,4.93,600,30,10,37.9
45.02,6.57,2.19,46.22,76.12,18.95,4.93,700,30,10,35.5
45.02,6.57,2.19,46.22,76.12,18.95,4.93,800,30,10,33.8
46.34,6.2,0.49,46.96,74.24,2.97,22.79,450,30,5,23.82
46.34,6.2,0.49,46.96,74.24,2.97,22.79,300,33,5,30.56
46.34,6.2,0.49,46.96,74.24,2.97,22.79,300,60,5,30.68
46.34,6.2,0.49,46.96,74.24,2.97,22.79,600,60,5,22.16
46.34,6.2,0.49,46.96,74.24,2.97,22.79,450,90,5,22.6
46.34,6.2,0.49,46.96,74.24,2.97,22.79,300,30,10,29.93
46.34,6.2,0.49,46.96,74.24,2.97,22.79,600,30,10,22.01
46.34,6.2,0.49,46.96,74.24,2.97,22.79,450,60,10,23.23
46.34,6.2,0.49,46.96,74.24,2.97,22.79,450,60,10,23.19
46.34,6.2,0.49,46.96,74.24,2.97,22.79,450,60,10,22.53
46.34,6.2,0.49,46.96,74.24,2.97,22.79,300,90,10,27.55
46.34,6.2,0.49,46.96,74.24,2.97,22.79,600,90,10,21.47
46.34,6.2,0.49,46.96,74.24,2.97,22.79,450,30,15,23.68
46.34,6.2,0.49,46.96,74.24,2.97,22.79,300,60,15,27.43
46.34,6.2,0.49,46.96,74.24,2.97,22.79,600,60,15,21.65
46.34,6.2,0.49,46.96,74.24,2.97,22.79,450,90,15,22.19
47.65,6.17,0.62,45.56,72.95,1.54,25.51,300,30,5,33.8
47.65,6.17,0.62,45.56,72.95,1.54,25.51,450,30,5,24.61
47.65,6.17,0.62,45.56,72.95,1.54,25.51,300,60,5,31.86
47.65,6.17,0.62,45.56,72.95,1.54,25.51,600,60,5,22.68
47.65,6.17,0.62,45.56,72.95,1.54,25.51,450,90,5,23.95
47.65,6.17,0.62,45.56,72.95,1.54,25.51,300,30,10,33.42
47.65,6.17,0.62,45.56,72.95,1.54,25.51,600,30,10,22.7
47.65,6.17,0.62,45.56,72.95,1.54,25.51,450,60,10,23.73
47.65,6.17,0.62,45.56,72.95,1.54,25.51,450,60,10,23.57
