feature,pdp_range,pdp_std,pdp_iqr
Temp,15.951262633320642,2.558454032462478,2.0146561244126726
FC,8.81648896309979,1.5110943668468837,1.5343016254311328
HR,7.459629639782383,1.3301362057501764,1.1214062257401827
RT,7.247306146186579,1.4626503799795916,0.8317459772085535
VM,6.7678604909949165,1.5393067235338989,1.5424591268961707
N,5.721239552740165,1.0513617220346263,1.156902122941086
H,5.592658986663492,1.284435933776244,1.3360095868986628
O,5.5392740505272595,1.0028092857706266,1.0042264427394854
Ash,4.820707460035574,1.049403403370965,1.137368863870443
C,4.636195559141852,1.0713351136981906,1.241475128519302
